iter	Passed	Remaining
1033	3026	55506
1034	3029	55503
1035	3031	55499
1036	3034	55489
1037	3037	55484
1038	3039	55476
1039	3042	55467
1040	3045	55469
1041	3048	55458
1042	3050	55448
1043	3053	55440
1044	3056	55439
1045	3059	55433
1046	3062	55429
1047	3065	55427
1048	3067	55423
1049	3070	55413
1050	3073	55412
1051	3075	55400
1052	3078	55393
1053	3081	55388
1054	3084	55385
1055	3086	55377
1056	3089	55368
1057	3091	55354
1058	3094	55340
1059	3096	55335
1060	3099	55329
1061	3102	55318
1062	3104	55309
1063	3107	55301
1064	3109	55288
1065	3112	55289
1066	3115	55281
1067	3118	55273
1068	3120	55261
1069	3123	55256
1070	3126	55259
1071	3129	55250
1072	3131	55242
1073	3134	55238
1074	3137	55236
1075	3140	55227
1076	3143	55224
1077	3145	55217
1078	3148	55211
1079	3151	55203
1080	3153	55192
1081	3156	55188
1082	3158	55176
1083	3161	55166
1084	3163	55155
1085	3166	55154
1086	3169	55155
1087	3173	55157
1088	3175	55144
1089	3178	55139
1090	3180	55131
1091	3183	55125
1092	3186	55120
1093	3189	55112
1094	3192	55110
1095	3194	55105
1096	3197	55100
1097	3200	55099
1098	3203	55095
1099	3206	55090
1100	3209	55087
1101	3211	55081
1102	3214	55073
1103	3217	55065
1104	3219	55053
1105	3222	55048
1106	3224	55037
1107	3228	55043
1108	3231	55040
1109	3234	55042
1110	3236	55034
1111	3239	55033
1112	3242	55023
1113	3245	55021
1114	3248	55015
1115	3251	55010
1116	3253	54994
1117	3255	54987
1118	3257	54970
1119	3260	54959
1120	3262	54952
1121	3265	54945
1122	3268	54937
1123	3270	54929
1124	3273	54920
1125	3276	54917
1126	3279	54912
1127	3281	54908
1128	3285	54912
1129	3287	54903
1130	3290	54895
1131	3292	54885
1132	3295	54880
1133	3298	54875
1134	3301	54870
1135	3304	54869
1136	3306	54860
1137	3308	54844
1138	3311	54834
1139	3313	54820
1140	3315	54807
1141	3318	54795
1142	3320	54783
1143	3323	54776
1144	3326	54771
1145	3329	54769
1146	3331	54761
1147	3334	54752
1148	3337	54748
1149	3339	54742
1150	3342	54743
1151	3345	54735
1152	3348	54731
1153	3351	54731
1154	3354	54724
1155	3357	54729
1156	3360	54728
1157	3363	54727
1158	3366	54727
1159	3369	54725
1160	3373	54732
1161	3375	54728
1162	3378	54725
1163	3381	54720
1164	3384	54714
1165	3387	54712
1166	3390	54708
1167	3392	54701
1168	3395	54693
1169	3397	54685
1170	3400	54679
1171	3403	54673
1172	3405	54662
1173	3408	54656
1174	3411	54652
1175	3414	54651
1176	3417	54650
1177	3419	54641
1178	3422	54634
1179	3425	54627
1180	3427	54621
1181	3430	54622
1182	3433	54616
1183	3436	54608
1184	3438	54599
1185	3441	54592
1186	3445	54601
1187	3447	54595
1188	3450	54587
1189	3452	54579
1190	3455	54570
1191	3458	54577
1192	3461	54568
1193	3464	54562
1194	3466	54556
1195	3469	54553
1196	3473	54560
1197	3475	54551
1198	3478	54543
1199	3480	54535
1200	3484	54535
1201	3487	54535
1202	3489	54529
1203	3492	54523
1204	3495	54517
1205	3498	54513
1206	3501	54510
1207	3503	54502
1208	3506	54496
1209	3508	54487
1210	3512	54497
1211	3515	54496
1212	3518	54493
1213	3521	54485
1214	3523	54479
1215	3526	54469
1216	3528	54461
1217	3531	54458
1218	3534	54449
1219	3536	54444
1220	3539	54433
1221	3541	54425
1222	3545	54429
1223	3547	54425
1224	3550	54418
1225	3553	54414
1226	3556	54412
1227	3558	54404
1228	3561	54394
1229	3564	54390
1230	3566	54381
1231	3569	54371
1232	3571	54358
1233	3573	54350
1234	3576	54346
1235	3579	54347
1236	3582	54337
1237	3584	54329
1238	3587	54321
1239	3590	54314
1240	3593	54316
1241	3595	54310
1242	3598	54302
1243	3601	54294
1244	3604	54291
1245	3607	54292
1246	3610	54292
1247	3612	54285
1248	3615	54277
1249	3619	54291
1250	3622	54289
1251	3625	54286
1252	3628	54284
1253	3630	54277
1254	3634	54290
1255	3637	54286
1256	3640	54284
1257	3643	54277
1258	3646	54273
1259	3649	54275
1260	3651	54267
1261	3654	54267
1262	3657	54264
1263	3660	54265
1264	3664	54266
1265	3666	54258
1266	3669	54249
1267	3672	54251
1268	3675	54244
1269	3678	54248
1270	3681	54246
1271	3683	54238
1272	3686	54237
1273	3689	54231
1274	3692	54233
1275	3695	54233
1276	3699	54234
1277	3701	54231
1278	3704	54222
1279	3707	54223
1280	3710	54220
1281	3713	54220
1282	3716	54210
1283	3718	54204
1284	3721	54194
1285	3723	54185
1286	3726	54183
1287	3729	54177
1288	3731	54166
1289	3734	54161
1290	3736	54154
1291	3739	54148
1292	3741	54138
1293	3744	54133
1294	3747	54128
1295	3750	54123
1296	3752	54113
1297	3755	54103
1298	3757	54093
1299	3760	54087
1300	3762	54079
1301	3765	54070
1302	3767	54061
1303	3770	54058
1304	3773	54056
1305	3776	54050
1306	3778	54044
1307	3781	54040
1308	3784	54039
1309	3787	54034
1310	3789	54026
1311	3793	54028
1312	3795	54024
1313	3798	54023
1314	3802	54024
1315	3805	54033
1316	3808	54033
1317	3811	54027
1318	3814	54024
1319	3817	54023
1320	3820	54016
1321	3822	54009
1322	3825	54004
1323	3827	53989
1324	3830	53984
1325	3832	53967
1326	3834	53962
1327	3837	53952
1328	3839	53946
1329	3842	53937
1330	3844	53930
1331	3847	53920
1332	3849	53908
1333	3851	53895
1334	3854	53884
1335	3856	53880
1336	3859	53874
1337	3862	53869
1338	3865	53866
1339	3867	53858
1340	3870	53848
1341	3872	53839
1342	3874	53831
1343	3877	53826
1344	3880	53818
1345	3882	53809
1346	3885	53802
1347	3887	53796
1348	3890	53791
1349	3893	53783
1350	3895	53771
1351	3897	53760
1352	3900	53754
1353	3902	53747
1354	3905	53742
1355	3908	53734
1356	3910	53727
1357	3913	53724
1358	3916	53718
1359	3918	53713
1360	3921	53701
1361	3923	53693
1362	3926	53683
1363	3928	53668
1364	3930	53655
1365	3932	53647
1366	3935	53637
1367	3937	53623
1368	3939	53619
1369	3942	53612
1370	3945	53604
1371	3947	53593
1372	3950	53591
1373	3952	53582
1374	3955	53578
1375	3958	53571
1376	3960	53562
1377	3963	53558
1378	3966	53554
1379	3968	53548
1380	3971	53539
1381	3973	53532
1382	3976	53523
1383	3979	53524
1384	3982	53522
1385	3984	53518
1386	3987	53514
1387	3990	53512
1388	3994	53516
1389	3996	53511
1390	3999	53503
1391	4001	53495
1392	4004	53488
1393	4008	53496
1394	4010	53485
1395	4012	53474
1396	4015	53467
1397	4017	53459
1398	4020	53454
1399	4023	53449
1400	4025	53443
1401	4028	53439
1402	4031	53433
1403	4034	53430
1404	4036	53424
1405	4039	53417
1406	4041	53411
1407	4044	53403
1408	4047	53400
1409	4049	53396
1410	4052	53392
1411	4055	53384
1412	4057	53378
1413	4060	53374
1414	4063	53372
1415	4066	53369
1416	4069	53364
1417	4071	53354
1418	4073	53345
1419	4076	53339
1420	4079	53336
1421	4081	53328
1422	4084	53325
1423	4087	53320
1424	4090	53315
1425	4093	53321
1426	4096	53314
1427	4098	53308
1428	4101	53304
1429	4104	53295
1430	4106	53292
1431	4109	53287
1432	4112	53280
1433	4115	53279
1434	4117	53273
1435	4120	53265
1436	4123	53261
1437	4126	53261
1438	4128	53255
1439	4131	53249
1440	4134	53247
1441	4137	53245
1442	4140	53243
1443	4143	53239
1444	4145	53231
1445	4148	53227
1446	4151	53224
1447	4154	53223
1448	4156	53219
1449	4159	53215
1450	4162	53209
1451	4165	53207
1452	4168	53208
1453	4170	53200
1454	4173	53193
1455	4176	53187
1456	4178	53183
1457	4181	53176
1458	4183	53169
1459	4186	53167
1460	4189	53161
1461	4192	53160
1462	4195	53155
1463	4197	53150
1464	4200	53144
1465	4203	53138
1466	4205	53135
1467	4208	53124
1468	4210	53114
1469	4212	53101
1470	4215	53097
1471	4217	53091
1472	4221	53093
1473	4223	53083
1474	4226	53077
1475	4228	53066
1476	4230	53055
1477	4232	53043
1478	4235	53036
1479	4237	53026
1480	4239	53014
1481	4241	53000
1482	4243	52988
1483	4246	52989
1484	4249	52988
1485	4252	52984
1486	4255	52981
1487	4258	52977
1488	4261	52976
1489	4264	52973
1490	4266	52968
1491	4269	52962
1492	4272	52957
1493	4274	52951
1494	4277	52949
1495	4280	52942
1496	4283	52938
1497	4285	52933
1498	4288	52928
1499	4290	52922
1500	4293	52912
1501	4295	52906
1502	4298	52899
1503	4300	52888
1504	4302	52877
1505	4304	52865
1506	4307	52856
1507	4309	52843
1508	4312	52840
1509	4314	52830
1510	4316	52816
1511	4318	52806
1512	4320	52795
1513	4322	52780
1514	4324	52766
1515	4326	52755
1516	4329	52744
1517	4331	52734
1518	4333	52726
1519	4336	52718
1520	4339	52717
1521	4341	52714
1522	4344	52703
1523	4346	52692
1524	4348	52685
1525	4350	52671
1526	4352	52660
1527	4354	52647
1528	4357	52635
1529	4359	52622
1530	4361	52612
1531	4363	52601
1532	4366	52597
1533	4368	52589
1534	4370	52577
1535	4372	52567
1536	4375	52554
1537	4377	52548
1538	4379	52535
1539	4382	52529
1540	4384	52517
1541	4386	52506
1542	4388	52496
1543	4390	52485
1544	4392	52474
1545	4394	52460
1546	4396	52447
1547	4399	52436
1548	4401	52426
1549	4403	52418
1550	4405	52407
1551	4408	52396
1552	4410	52384
1553	4412	52372
1554	4414	52359
1555	4416	52347
1556	4418	52340
1557	4420	52329
1558	4422	52318
1559	4425	52309
1560	4427	52301
1561	4429	52286
1562	4431	52275
1563	4433	52262
1564	4435	52253
1565	4438	52243
1566	4440	52232
1567	4442	52221
1568	4444	52213
1569	4447	52203
1570	4449	52196
1571	4451	52184
1572	4453	52174
1573	4455	52163
1574	4458	52154
1575	4460	52145
1576	4462	52137
1577	4465	52126
1578	4467	52114
1579	4469	52106
1580	4472	52102
1581	4474	52096
1582	4477	52091
1583	4479	52082
1584	4482	52076
1585	4485	52073
1586	4487	52066
1587	4490	52059
1588	4492	52053
1589	4494	52042
1590	4496	52032
1591	4499	52025
1592	4501	52014
1593	4503	52004
1594	4505	51995
1595	4508	51987
1596	4510	51975
1597	4512	51968
1598	4515	51959
1599	4517	51952
1600	4519	51942
